8,134$
-1$
63,181$
40,407$
28,972$
25,924$
20,517$
14,972$
79,235$
54,060$
49,917$
48,581$
37,381$
19,573$
91,863$
63,711$
80,166$
63,356$
80,110$
50,949$
19,527$
99,227$
7,471$
93,765$
72,708$
63,469$
72,088$
90,346$
27,997$
44,988$
92,884$
95,194$
17,918$
8,714$
38,799$
57,176$
33,621$
34,512$
2,829$
25,501$
46,206$
35,304$
35,929$
62,357$
97,686$
55,685$
51,720$
58,368$
22,644$
94,617$
63,948$
12,974$
11,624$
43,211$
66,055$
66,199$
29,648$
6,872$
53,906$
69,778$
34,995$
47,025$
53,547$
77,577$
40,492$
11,004$
75,424$
57,374$
94,137$
39,757$
86,394$
87,153$
19,921$
47,881$
38,524$
95,838$
15,425$
2,201$
53,890$
53,579$
32,214$
69,638$
37,970$
81,606$
49,806$
86,732$
9,669$
93,112$
39,487$
55,410$
91,771$
6,115$
66,633$
94,890$
80,571$
58,876$
28,996$
27,312$
43,034$
17,536$
