63,300$
91,313$
67,388$
79,931$
44,094$
16,273$
39,553$
75,908$
32,253$
42,639$
40,599$
18,972$
58,031$
49,659$
23,687$
80,424$
50,982$
88,463$
87,088$
77,505$
-1$
50,322$
78,248$
58,426$
83,347$
84,583$
72,601$
25,622$
82,746$
98,488$
53,444$
92,502$
18,838$
5,369$
9,024$
88,607$
6,808$
40,657$
89,254$
46,397$
58,641$
93,073$
50,774$
43,700$
5,016$
35,851$
91,145$
56,224$
60,363$
30,126$
65,847$
68,686$
89,152$
24,206$
98,084$
60,054$
71,317$
3,110$
85,742$
50,359$
51,521$
33,462$
73,186$
58,613$
48,738$
35,449$
76,159$
12,593$
37,687$
28,289$
94,288$
90,991$
99,751$
29,851$
95,177$
85,593$
65,325$
65,054$
9,583$
79,963$
63,195$
88,685$
95,434$
87,253$
8,246$
89,550$
78,929$
24,189$
70,004$
4,780$
1,899$
10,915$
6,627$
70,196$
62,765$
24,390$
18,338$
75,175$
55,192$
35,206$
