53,763$
40,939$
71,574$
94,462$
38,028$
41,924$
48,554$
81,597$
68,676$
10,869$
51,517$
75,259$
99,301$
61,942$
87,274$
35,269$
-1$
71,023$
90,440$
20,824$
83,420$
6,793$
75,528$
58,729$
40,855$
98,924$
69,128$
52,823$
81,777$
95,775$
34,601$
44,378$
95,296$
55,998$
13,822$
6,984$
26,774$
45,824$
27,539$
88,351$
34,150$
57,181$
41,378$
16,554$
98,842$
68,979$
13,319$
22,041$
7,460$
23,156$
98,857$
38,102$
49,934$
87,405$
54,578$
97,682$
10,187$
20,863$
7,239$
74,986$
57,214$
39,022$
30,402$
97,051$
80,530$
74,166$
86,641$
41,078$
22,210$
3,150$
40,873$
28,894$
48,016$
58,229$
35,527$
51,629$
89,850$
64,530$
58,667$
16,054$
43,448$
16,001$
82,359$
33,308$
24,022$
95,578$
72,060$
60,322$
50,101$
13,195$
97,988$
15,524$
44,299$
9,900$
90,980$
47,698$
4,528$
32,485$
5,591$
28,606$
